Category,Item Name,Description,Price,Keywords
From our Grill,Bigger Sizes are Available,Served with Mashed Potato or Chips with Salad,SQ,"large steaks Mauritius, custom steak sizes, premium grill Mauritius"
From our Grill,Lamb Ribs 300g,Served with Mashed Potato or Chips with Salad,1050,"lamb ribs Mauritius, grilled lamb, rib rack Mauritius, BBQ lamb"
From our Grill,Lamb Ribs 500g,Served with Mashed Potato or Chips with Salad,1650,"lamb ribs Mauritius, grilled lamb, rib rack Mauritius, BBQ lamb"
From our Grill,Lamb Kebabs X 2,Served with Mashed Potato or Chips with Salad,1100,"lamb kebabs, lamb skewers, grilled kebabs Mauritius"
From our Grill,Pork Ribs 500g,Served with Mashed Potato or Chips with Salad,1150,"pork ribs Mauritius, BBQ pork ribs, slow cooked ribs, flame grilled ribs, spare ribs Mauritius"
From our Grill,Pork Ribs 750g,Served with Mashed Potato or Chips with Salad,1725,"pork ribs Mauritius, BBQ pork ribs, slow cooked ribs, flame grilled ribs, spare ribs Mauritius"
From our Grill,Pork Ribs 1 kg,Served with Mashed Potato or Chips with Salad,2050,"pork ribs Mauritius, BBQ pork ribs, slow cooked ribs, flame grilled ribs, spare ribs Mauritius"
From our Grill,Pork Chops 300g,Served with Mashed Potato or Chips with Salad,950,"pork chops Mauritius, grilled pork chop, BBQ pork"
From our Grill,Pork Fillet 300g,Served with Mashed Potato or Chips with Salad,950,"pork fillet, grilled pork fillet, tender pork"
From our Grill,Chicken Fillet,Served with Mashed Potato or Chips with Salad,650,"chicken fillet Mauritius, grilled chicken breast, healthy chicken meal"
From our Grill,Buffalo Wings,Served with Mashed Potato or Chips with Salad,650,"grilled wings Mauritius, chicken wings, spicy wings"
From our Grill,Tender Chicken Strips,Served with Mashed Potato or Chips with Salad,650,"chicken strips grilled, tender chicken, kids chicken strips"
From our Grill,Chicken Kebabs X 2,Served with Mashed Potato or Chips with Salad,600,"chicken kebabs, chicken skewers Mauritius, grilled chicken kebabs"
From our Grill,Beef Sausages X 3,Served with Mashed Potato or Chips with Salad,650,"grilled sausage Mauritius, beef sausage meal, BBQ sausage"
From our Grill,Beef Kebabs X2,Served with Mashed Potato or Chips with Salad,1100,"beef kebabs, beef skewers Mauritius, grilled kebabs"
Platters,Seafood Platter For One,Calamari Prawns Fish,1100,"seafood platter Mauritius, prawns calamari fish, mixed seafood"
Platters,Seafood Platter For Two,Calamari Prawns Fish,1700,"seafood platter Mauritius, prawns calamari fish, mixed seafood"
Platters,Pork Ribs and Beef Fillet,Served with Mashed Potato or Chips with Salad,1750,"surf and turf Mauritius, pork and beef platter, mixed meat platter"
Platters,Pork Ribs and Beef Sirloin,Served with Mashed Potato or Chips with Salad,1450,"meat platter Mauritius, pork ribs combo"
Platters,Pork Ribs and Beef Ribeye,Served with Mashed Potato or Chips with Salad,1650,"ribeye and ribs, premium platter Mauritius"
Platters,Mix Ribs Pork And Lamb 750g,Served with Mashed Potato or Chips with Salad,1700,"ribs platter Mauritius, lamb and pork ribs"
Platters,Sirloin and Crispy Calamari,Served with Mashed Potato or Chips with Salad,1450,"surf and turf sirloin, steak and calamari, mixed platter"
Platters,Sirloin and Crispy Prawns,Served with Mashed Potato or Chips with Salad,1450,"steak and prawns, surf and turf Mauritius"
Platters,Sirloin and Grilled Fish,Served with Mashed Potato or Chips with Salad,1550,"steak and fish, surf and turf plate"
Platters,Steak Platter (Fillet Sirloin And Ribeye),Served with Mashed Potato or Chips with Salad,2450,"steak lovers Mauritius, grilled beef platter, premium steak combo"
Platters,Meat Platter (Pork Ribs Meatballs Chicken Wings and Sausage),Served with Mashed Potato or Chips with Salad,1650,"meat feast Mauritius, mixed meat platter, grill combo"
Platters,Vegetarian Platter (Corn on the Cob Crispy Eggplant Samosas and Onion Rings),Served with Mashed Potato or Chips with Salad,1050,"vegetarian platter Mauritius, veg feast, fried veggie platter"
Platters,Mix Platter (Steak Strips Chicken Strips Pork Ribs Samosas and Onion Rings),Served with Mashed Potato or Chips with Salad,1550,"mixed platter Mauritius, big platter, variety platter"
Build a Burger,Beef Patty 100g,Served With Lettuce And Our Home Made Sauce,240,"burger Mauritius, build your own burger, grilled burger patty, homemade burger"
Build a Burger,Beef Patty 200g,Served With Lettuce And Our Home Made Sauce,340,"beef burger patty, beef burger Mauritius"
Build a Burger,Beef Patty 300g,Served With Lettuce And Our Home Made Sauce,450,"beef burger patty, beef burger Mauritius"
Build a Burger,Beef Patty 400g,Served With Lettuce And Our Home Made Sauce,540,"beef burger patty, beef burger Mauritius"
Build a Burger,Beef Steak 100g,Served With Lettuce And Our Home Made Sauce,600,"steak burger, steak sandwich Mauritius"
Build a Burger,Beef Steak 200g,Served With Lettuce And Our Home Made Sauce,800,"steak burger, steak sandwich Mauritius"
Build a Burger,Beef Steak 300g,Served With Lettuce And Our Home Made Sauce,1000,"steak burger, steak sandwich Mauritius"
Build a Burger,Beef Steak 400g,Served With Lettuce And Our Home Made Sauce,1200,"steak burger, steak sandwich Mauritius"
Build a Burger,Lamb Patty 100g,Served With Lettuce And Our Home Made Sauce,290,"lamb burger Mauritius, lamb patty"
Build a Burger,Lamb Patty 200g,Served With Lettuce And Our Home Made Sauce,390,"lamb burger Mauritius, lamb patty"
Build a Burger,Lamb Patty 300g,Served With Lettuce And Our Home Made Sauce,490,"lamb burger Mauritius, lamb patty"
Build a Burger,Lamb Patty 400g,Served With Lettuce And Our Home Made Sauce,570,"lamb burger Mauritius, lamb patty"
Build a Burger,Chicken Patty 100g,Served With Lettuce And Our Home Made Sauce,180,chicken patty burger
Build a Burger,Chicken Patty 200g,Served With Lettuce And Our Home Made Sauce,280,chicken patty burger
Build a Burger,Chicken Patty 300g,Served With Lettuce And Our Home Made Sauce,380,chicken patty burger
Build a Burger,Chicken Patty 400g,Served With Lettuce And Our Home Made Sauce,480,chicken patty burger
Build a Burger,Chicken Fillet 100g,Served With Lettuce And Our Home Made Sauce,200,"grilled chicken burger, chicken burger Mauritius"
Build a Burger,Chicken Fillet 200g,Served With Lettuce And Our Home Made Sauce,300,"grilled chicken burger, chicken burger Mauritius"
Build a Burger,Chicken Fillet 300g,Served With Lettuce And Our Home Made Sauce,400,"grilled chicken burger, chicken burger Mauritius"
Build a Burger,Chicken Fillet 400g,Served With Lettuce And Our Home Made Sauce,480,"grilled chicken burger, chicken burger Mauritius"
Build a Burger,Fish Fillet 100g,Served With Lettuce And Our Home Made Sauce,280,"fish burger Mauritius, seafood burger"
Build a Burger,Fish Fillet 200g,Served With Lettuce And Our Home Made Sauce,380,"fish burger Mauritius, seafood burger"
Build a Burger,Fish Fillet 300g,Served With Lettuce And Our Home Made Sauce,480,"fish burger Mauritius, seafood burger"
Build a Burger,Fish Fillet 400g,Served With Lettuce And Our Home Made Sauce,600,"fish burger Mauritius, seafood burger"
Build a Burger,Veg Patty 100g,Served With Lettuce And Our Home Made Sauce,180,"vegetarian burger Mauritius, veg patty burger, plant-based burger"
Build a Burger,Veg Patty 200g,Served With Lettuce And Our Home Made Sauce,280,"vegetarian burger Mauritius, veg patty burger, plant-based burger"
Build a Burger,Veg Patty 300g,Served With Lettuce And Our Home Made Sauce,380,"vegetarian burger Mauritius, veg patty burger, plant-based burger"
Build a Burger,Veg Patty 400g,Served With Lettuce And Our Home Made Sauce,480,"vegetarian burger Mauritius, veg patty burger, plant-based burger"
Topping Chips and Sauce,Tomato,Toppings,40,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Onion,Toppings,25,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Cheese,Toppings,25,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Pickles,Toppings,25,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Egg,Toppings,40,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Pineapple,Toppings,25,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Bacon,Toppings,50,"burger toppings Mauritius, add-ons, custom burger toppings"
Topping Chips and Sauce,Jalapeños,Toppings,50,"jalapeños, burger toppings Mauritius, add-ons, spicy burger topping"
Topping Chips and Sauce,Pepper,Sauce,100,"steak sauces Mauritius, burger sauces, creamy sauces"
Topping Chips and Sauce,Garlic,Sauce,100,"steak sauces Mauritius, burger sauces, creamy sauces"
Topping Chips and Sauce,Blue Cheese,Sauce,150,"steak sauces Mauritius, burger sauces, creamy sauces"
Topping Chips and Sauce,Small 150g,Chips,100,"chips Mauritius, french fries, large chips, takeaway fries"
Topping Chips and Sauce,Medium 300g,Chips,200,"chips Mauritius, french fries, large chips, takeaway fries"
Topping Chips and Sauce,Large 400g,Chips,300,"chips Mauritius, french fries, large chips, takeaway fries"
Topping Chips and Sauce,XLarge 500g,Chips,400,"chips Mauritius, french fries, large chips, takeaway fries"
Topping Chips and Sauce,XXLarge 750g,Chips,550,"chips Mauritius, french fries, large chips, takeaway fries"
Sweet Endings Playground,Malva Pudding,Cake Soaked in a Buttery Caramel Sauce Served with Whipped Cream,280,"malva pudding Mauritius, South African dessert, warm pudding, caramel dessert"
Sweet Endings Playground,Brownie,With Ice Cream and Chocolate Sauce,280,"chocolate brownie, brownie Mauritius, dessert with ice cream"
Sweet Endings Playground,Vanilla Ice Cream,One Scoop,90,"vanilla ice cream Mauritius, classic dessert"
Sweet Endings Playground,Milkshake,Vanilla,240,"vanilla milkshake Mauritius, creamy milkshake"
Sweet Endings Playground,Hot Chocolate,,180,"hot chocolate Mauritius, warm drink, dessert drink"
Sweet Endings Playground,Don Pedro Whiskey,Milkshake with Whiskey and Chocolate,350,"don pedro Mauritius, adult desserts, boozy milkshake"
Sweet Endings Playground,Don Pedro Kahlua,Milkshake with Kahlua and Chocolate,350,"don pedro Mauritius, adult desserts, boozy milkshake"
Sweet Endings Playground,Irish Coffee,Espresso with Whiskey and Cream,350,"irish coffee Mauritius, coffee with whiskey, warm dessert drink"
Drinks,Beer - Blue Marlin Large,600 ml,250,Blue Marlin beer Mauritius
Drinks,Beer - Blue Marlin Small,330 ml,140,Blue Marlin beer Mauritius
Drinks,Beer - Heineken Large,600 ml,400,Heineken beer Mauritius
Drinks,Beer - Heineken Small,330 ml,210,Heineken beer Mauritius
Drinks,Beer - Non Alcoholic Large,600 ml,280,non-alcoholic beer Mauritius
Drinks,Beer - Non Alcoholic Small,330 ml,140,non-alcoholic beer Mauritius
Drinks,Beer - Phoenix Large,600 ml,250,"Phoenix beer Mauritius, local beer"
Drinks,Beer - Phoenix Small,330 ml,140,"Phoenix beer Mauritius, local beer"
Drinks,Beer - Shandy,Beer Sprite,140,"shandy Mauritius, beer lemonade mix"
Drinks,Cocktails - Expresso Tequila,Tequila Kahlua Triple Sec,320,"espresso martini Mauritius, coffee cocktail, tequila"
Drinks,Cocktails - Fresh Surprise,Rum Mint Tamarin Lime Lemon,290,"fresh surprise Mauritius, tamarin, mint, lime, lemon cocktail"
Drinks,Cocktails - Margarita Lemon,Gin Tequila Triple Sec Lime Lemon,320,"margarita Mauritius, tequila cocktail"
Drinks,Cocktails - Mauritian Punch,Rum Mango Passion Coco Pine,290,"Mauritian punch, rum cocktail"
Drinks,Cocktails - Mauritius Colada,Rum Mango Passion Pineapple Coco,300,"Mauritius colada cocktail, mango, passion, pineapple, coco"
Drinks,Cocktails - Mojito,White Rum Mint Lime Sugar Syrup,320,"mojito Mauritius, mint rum cocktail"
Drinks,Cocktails - Pina Colada,Rum Coco Pineapple,300,"pina colada Mauritius, coconut pineapple cocktail"
Drinks,Cocktails - Sex On The Beach,Rum Orange Peach Cranberry Grenadine,290,"sex on the beach cocktail, tropical drink"
Drinks,Cocktails -Jalapeño Punch,Chili Rum Dark Rum Lime Grenadine,320,jalapeño punch cocktail Mauritius
Drinks,Coffee - Americano,,120,americano coffee Mauritius
Drinks,Coffee - Cappuccino,,150,cappuccino Mauritius
Drinks,Coffee - Espresso,,120,espresso Mauritius
Drinks,Coffee - Hot Chocolate,,151,hot chocolate Mauritius
Drinks,Coffee - Latte,,150,latte Mauritius
Drinks,Coffee - Macchiato,,150,macchiato Mauritius
Drinks,Juice - Apple,,150,apple juice Mauritius
Drinks,Juice - Cranberry,,150,pineapple juice fresh
Drinks,Juice - Mango,,150,mango juice Mauritius
Drinks,Juice - Orange,,150,orange juice
Drinks,Juice - Tropical,,150,grapefruit juice Mauritius
Drinks,Mocktails - Citrous Sour,Orange Lemon Lime,200,"Orange, Lemon, Lime, mango mocktail, fresh mango drink"
Drinks,Mocktails - Mojito Mocktail,Mint Lime Tamarin,200,"Mint, Lime, Tamarin, virgin mojito Mauritius, non-alcoholic mojito"
Drinks,Mocktails - Sex on the Beach Mocktail,Orange Peach Cranberry Grenadine,200,"orange lime mocktail, citrus mocktail, Sex on the Beach"
Drinks,Mocktails - Shirly Ginger,Ginger Ale Lime Grenadine,200,"Ginger Ale, Lime, Grenadine, tropical mocktail, orange mocktail Mauritius"
Drinks,Mocktails - Tropical Punch,Tropical Soda Grenadine,200,"lemon lime mocktail Mauritius, Tropical Punch"
Drinks,Soft Drinks - Coke,,140,Coca-Cola Mauritius
Drinks,Soft Drinks - Coke Zero,,140,Coke Zero Mauritius
Drinks,Soft Drinks - Fanta,,140,Fanta Mauritius
Drinks,Soft Drinks - Grapetiser,,140,tonic water Mauritius
Drinks,Soft Drinks - Perona,,140,Perona sparkling water Mauritius
Drinks,Soft Drinks - Sprite,,140,Sprite Mauritius
Drinks,Soft Drinks - Sprite Zero,,140,Sprite Zero Mauritius
Drinks,Spirits - Aged Rum Local Double,,200,"aged rum double, local rum Mauritius"
Drinks,Spirits - Aged Rum Local Single,,120,"aged rum Mauritius, local rum single, spirits Mauritius"
Drinks,Spirits - Dark Rum Local Double,,200,dark rum double Mauritius
Drinks,Spirits - Dark Rum Local Single,,120,"dark rum Mauritius, local dark rum"
Drinks,Spirits - Gin Local Double,,200,local gin double
Drinks,Spirits - Gin Local Single,,120,"local gin Mauritius, single gin"
Drinks,Spirits - Grants Whiskey Double,,300,grants double Mauritius
Drinks,Spirits - Grants Whiskey Single,,180,"grants whiskey Mauritius, single pour"
Drinks,Spirits - Mauritius Cane Rum Local Double,,200,Mauritius cane rum double
Drinks,Spirits - Mauritius Cane Rum Local Single,,120,"Mauritius cane rum, local rum single"
Drinks,Spirits - Red Label Whiskey Double,,300,red label double Mauritius
Drinks,Spirits - Red Label Whiskey Single,,180,"red label whiskey, Johnnie Walker red single"
Drinks,Spirits - Seven Seas Local Double,,200,seven seas double
Drinks,Spirits - Seven Seas Local Single,,120,"seven seas rum Mauritius, local rum"
Drinks,Spirits - Spice Rum Local Double,,200,spice rum double Mauritius
Drinks,Spirits - Spice Rum Local Single,,120,"spice rum Mauritius, spiced rum single"
Drinks,Spirits - Tequila Double,,300,tequila double pour
Drinks,Spirits - Tequila Single,,180,"tequila Mauritius, single shot tequila"
Drinks,Spirits - Vodka Local Double,,200,local vodka double
Drinks,Spirits - Vodka Local Single,,120,"local vodka Mauritius, single vodka"
Drinks,Spirits - White Rum Local Double,,200,white rum double
Drinks,Spirits - White Rum Local Single,,120,"white rum Mauritius, local white rum"
Drinks,Water,1l  Natural Sparkling Tonic,120,"natural, sparkling, tonic water Mauritius"
Drinks,Wine - Blanc Du Noir,Glass 200 ml Rose,380,blanc du noir wine Mauritius
Drinks,Wine - Blanc Du Noir,Per Bottle Rose,1080,blanc du noir wine Mauritius
Drinks,Wine - Cabernet Sauvignon,Glass 200 ml Red,375,"cabernet sauvignon Mauritius, per bottle"
Drinks,Wine - Cabernet Sauvignon,Per Bottle Red,1100,"cabernet sauvignon Mauritius, per bottle"
Drinks,Wine - Chardonnay,Glass 200 ml,340,chardonnay wine Mauritius
Drinks,Wine - Chardonnay,Per Bottle,1050,chardonnay wine Mauritius
Drinks,Wine - House Red,Glass 200 ml,140,"house red wine Mauritius, per glass"
Drinks,Wine - House Rose,Glass 200 ml,140,house rosé wine Mauritius
Drinks,Wine - House White,Glass 200 ml,140,house white wine Mauritius
Drinks,Wine - Merlot,Glass 200 ml Red,375,merlot wine Mauritius
Drinks,Wine - Merlot,Per Bottle Red,1100,merlot wine Mauritius
Drinks,Wine - Sauvignon Blanc,Glass 200 ml White,340,sauvignon blanc wine Mauritius
Drinks,Wine - Sauvignon Blanc,Per Bottle White,1050,sauvignon blanc wine Mauritius
Drinks,Wine - Shiraz,Glass 200 ml Red,375,shiraz wine Mauritius
Drinks,Wine - Shiraz,Per Bottle Red,1100,shiraz wine Mauritius
Drinks,Wine - Spritzer,House wine with Sodan and Ice,300,spritzerwine Mauritius
